Hyperparameters,F1-Score on ‘deceased’,Recall on ‘deceased’,Overall Accuracy,Overall Recall
"n_neighbors=50, weights=uniform",0.6008604552059733,0.696754171301446,0.5472327189651447,0.5472327189651447
"n_neighbors=50, weights=distance",0.630134981037622,0.7134161413916698,0.5878534623815258,0.5878534623815258
"n_neighbors=75, weights=uniform",0.5817801877842093,0.67853491533803,0.5519556049519929,0.5519556049519929
"n_neighbors=75, weights=distance",0.6280630486106245,0.7020828080583364,0.5991889104998301,0.5991889104998301
"n_neighbors=100, weights=uniform",0.5794898414011517,0.6720904708935855,0.5566792164490136,0.5566792164490136
"n_neighbors=100, weights=distance",0.6382369413591706,0.705639846743295,0.6071910098484146,0.6071910098484146
"n_neighbors=125, weights=uniform",0.565901078197238,0.661644543319738,0.5489554814608996,0.5489554814608996
"n_neighbors=125, weights=distance",0.6386120882266799,0.7069731800766283,0.6065242814362014,0.6065242814362014
"n_neighbors=150, weights=uniform",0.563894570154188,0.6605329378321592,0.5425650489333457,0.5425650489333457
"n_neighbors=150, weights=distance",0.6386890540336092,0.7085289828204178,0.6049683708437529,0.6049683708437529
"n_neighbors=175, weights=uniform",0.5594198512669215,0.6594230626622173,0.5386197400512488,0.5386197400512488
"n_neighbors=175, weights=distance",0.6398719996141887,0.7105307131380547,0.6036347905282332,0.6036347905282332
"n_neighbors=200, weights=uniform",0.5728230873002174,0.676759115066123,0.5389534438578617,0.5389534438578617
"n_neighbors=200, weights=distance",0.6375603946362496,0.70852848844395,0.6012453150566516,0.6012453150566516
"n_neighbors=225, weights=uniform",0.5618254651061729,0.664091212458287,0.5373422864375907,0.5373422864375907
"n_neighbors=225, weights=distance",0.6373622215824467,0.7089726857001607,0.6008007934302738,0.6008007934302738
"n_neighbors=250, weights=uniform",0.5649236815198977,0.6656435545668027,0.5335635052946806,0.5335635052946806
"n_neighbors=250, weights=distance",0.6368446085576562,0.7091951551106168,0.5995227377975365,0.5995227377975365
"n_neighbors=275, weights=uniform",0.5585250722750267,0.6603104684217032,0.5306745855330185,0.5306745855330185
"n_neighbors=275, weights=distance",0.636012281475882,0.7091941663576814,0.5978558241486832,0.5978558241486832
"n_neighbors=300, weights=uniform",0.5599259785412642,0.6609756519589668,0.5300633354944274,0.5300633354944274
"n_neighbors=300, weights=distance",0.6376209399078112,0.7118620689655173,0.5978558087122966,0.5978558087122966
"n_neighbors=325, weights=uniform",0.5532127288010138,0.6560870102583117,0.5256736439134329,0.5256736439134329
"n_neighbors=325, weights=distance",0.6369957406709634,0.7120842911877394,0.5964666265320615,0.5964666265320615
"n_neighbors=350, weights=uniform",0.5488752664408457,0.6503109627981709,0.525396437281961,0.525396437281961
"n_neighbors=350, weights=distance",0.6372215953927323,0.71275120504264,0.5952441110184928,0.5952441110184928
"n_neighbors=375, weights=uniform",0.5418527444317685,0.642979854158942,0.5231179803031706,0.5231179803031706
"n_neighbors=375, weights=distance",0.6378242220768766,0.7138630577184526,0.5945216726868574,0.5945216726868574
"n_neighbors=400, weights=uniform",0.5510478130928442,0.6536472623903102,0.5238398937976598,0.5238398937976598
"n_neighbors=400, weights=distance",0.6387498669283744,0.7143079965393647,0.5946328609799018,0.5946328609799018
"n_neighbors=425, weights=uniform",0.5513018598361148,0.652755654430849,0.5226728566577135,0.5226728566577135
"n_neighbors=425, weights=distance",0.6385789321654312,0.7143079965393647,0.5946329227254484,0.5946329227254484
"n_neighbors=450, weights=uniform",0.5473368786132149,0.6503112099864047,0.5184497236886789,0.5184497236886789
"n_neighbors=450, weights=distance",0.6381713448119102,0.7145304659498208,0.5940216572504708,0.5940216572504708
"n_neighbors=475, weights=uniform",0.5439938441072654,0.6489788654060067,0.5132821308388131,0.5132821308388131
"n_neighbors=475, weights=distance",0.6373135807893249,0.7138630577184526,0.5936326603068754,0.5936326603068754
"n_neighbors=500, weights=uniform",0.5401349005383301,0.6456455320726734,0.5103927016763916,0.5103927016763916
"n_neighbors=500, weights=distance",0.6365109017754804,0.7131956494870844,0.5931325213793955,0.5931325213793955
